differing_column,row1_index,row2_index,condition_case
Formula Additive 1,14750,18558,row1
Formula Additive 1,15654,18558,row1
Formula Additive 1,16623,17522,row2
Formula Additive 1,16623,17541,row2
Formula Additive 1,16627,17522,row2
Formula Additive 1,16627,17541,row2
Formula Additive 1,17522,18558,row1
Formula Additive 1,17541,18558,row1
Formula Additive 1,14750,17541,row1
Formula Additive 1,15654,17522,row2
Formula Additive 1,20974,25238,row1
Formula Additive 1,22658,25238,row1
Formula Additive 1,21810,29917,row2
Formula Additive 2,17156,21113,row1
Formula Additive 2,17156,21639,row1
Formula Additive 2,17156,22826,row1
Formula Additive 2,17164,21113,row1
Formula Additive 2,17164,21639,row1
Formula Additive 2,17164,22826,row1
Formula Additive 2,17494,21113,row1
Formula Additive 2,17494,21639,row1
Formula Additive 2,17494,22826,row1
Formula Additive 2,17509,21113,row1
Formula Additive 2,17509,21639,row1
Formula Additive 2,17509,22826,row1
Formula Additive 2,17156,21666,row1
Formula Additive 2,17164,21666,row1
Formula Additive 2,17494,21666,row1
Formula Additive 2,17509,21666,row1
Formula Additive 2,17156,21659,row1
Formula Additive 2,17156,22571,row1
Formula Additive 2,17164,21659,row1
Formula Additive 2,17164,22571,row1
Formula Additive 2,17494,21659,row1
Formula Additive 2,17494,22571,row1
Formula Additive 2,17509,21659,row1
Formula Additive 2,17509,22571,row1
Formula Additive 2,21666,22826,row1
Formula Additive 2,21113,21659,row2
Formula Additive 2,21113,22571,row2
Formula Additive 2,21639,22571,row2
Formula Additive 2,22571,22826,row1
Formula Additive 2,13873,20295,row1
Formula Additive 2,13873,20651,row1
Formula Additive 2,13903,20295,row1
Formula Additive 2,13903,20651,row1
Formula Additive 2,14359,20295,row1
Formula Additive 2,14359,20651,row1
Formula Additive 2,14391,20295,row1
Formula Additive 2,14391,20651,row1
Formula Additive 2,14409,20295,row1
Formula Additive 2,14409,20651,row1
Formula Additive 2,13873,23166,row1
Formula Additive 2,13873,31293,row1
Formula Additive 2,13903,23166,row1
Formula Additive 2,13903,31293,row1
Formula Additive 2,14359,23166,row1
Formula Additive 2,14359,31293,row1
Formula Additive 2,14391,23166,row1
Formula Additive 2,14409,23166,row1
Formula Additive 2,14409,31293,row1
Formula Additive 2,20295,23166,row2
Formula Additive 2,20295,31293,row2
Formula Additive 2,20651,23166,row2
Formula Additive 2,20651,31293,row2
Formula Additive 2,14852,18994,row1
Formula Additive 2,14852,20822,row1
Formula Additive 2,14852,22814,row1
Formula Additive 2,18187,18994,row1
Formula Additive 2,18187,20822,row1
Formula Additive 2,18187,22814,row1
Formula Additive 2,18199,18994,row1
Formula Additive 2,18199,20822,row1
Formula Additive 2,18199,22814,row1
Formula Additive 2,18871,18994,row1
Formula Additive 2,18871,20822,row1
Formula Additive 2,18871,22814,row1
Formula Additive 2,17718,22383,row1
Formula Additive 2,17718,25648,row1
Formula Additive 2,17733,22383,row1
Formula Additive 2,17733,25648,row1
Formula Additive 2,17740,22383,row1
Formula Additive 2,17740,25648,row1
Formula Additive 2,17830,22383,row1
Formula Additive 2,17830,25648,row1
Formula Additive 2,17406,22754,row1
Formula Additive 2,17434,22754,row1
Formula Additive 2,17434,20005,row1
Formula Additive 2,17434,19319,row1
Formula Additive 2,19296,22754,row1
Formula Additive 2,19296,19319,row1
Formula Additive 2,19319,20005,row2
Formula Additive 2,18311,19419,row1
Formula Additive 2,18311,24319,row1
Formula Additive 2,18311,29343,row1
Formula Additive 2,18311,30481,row1
Formula Additive 2,18311,31481,row1
Formula Additive 2,18311,29391,row1
Formula Additive 2,18311,29404,row1
Formula Additive 2,19419,29391,row2
Formula Additive 2,19419,29404,row2
Formula Additive 2,24319,29391,row2
Formula Additive 2,24319,29404,row2
Formula Additive 2,29391,30481,row1
Formula Additive 2,29404,30481,row1
Formula Additive 2,29391,31481,row1
Formula Additive 2,29404,31481,row1
Formula Additive 2,19946,20974,row2
