No,date,Fa1,Fa2,Fa3,Fa5,Fa6,Fa7,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,Voc,Voc_pred
28881,20250218,0.1,0.0,0.9,2.8,0.2,1.5,2,4.0,3,12.0,0,0.0,11,0.132,6,0.198,0,0.0,0.0,0.0,0.0,0.0,1000,12,4800,35,8.0,200,110,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1046,1.0977255
36817,20250318,0.05,0.095,0.855,3.0,0.0,1.63,2,14.6,5,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,200,110,25,9,1.4,0,0.0,0,0.0,0,0.0,4500.0,30.0,12.0,120.0,105.0,5.0,1.10117,1.1062938
37235,20250320,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,5,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,9,0.5,3,0.5,0,0.0,0,0.0,5000.0,30.0,11.0,100.0,100.0,7.0,1.12737,1.1244179
19580,20241217,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,5,0.517,0,0.0,9,0.2475,11,0.0825,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12562,1.1237775
32750,20250312,0.07,0.1,0.83,3.0,0.0,1.63,2,10.0,5,0.4,0,0.0,1,0.2475,10,0.0825,0,0.0,0.0,0.0,0.0,0.0,1045,8,5336,30,9.0,215,100,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09483,1.0860327
37582,20250321,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,5,0.517,0,0.0,10,0.198,6,0.066,6,0.066,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,9,1.4,0,0.0,0,0.0,0,0.0,5000.0,30.0,7.0,120.0,100.0,3.0,1.12851,1.1313101
26490,20250107,0.1,0.0,0.9,2.8,0.2,1.5,2,3.5,3,12.0,0,0.0,10,0.11,6,0.22,0,0.0,0.0,0.0,0.0,0.0,1300,12,5400,25,10.0,180,105,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06754,1.0669367
42001,20250424,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,5,0.517,0,0.0,10,0.165,6,0.11,6,0.055,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,9,1.0,5,0.5,4,2.0,0,0.0,4100.0,30.0,12.0,100.0,100.0,4.0,1.13667,1.1352756
32947,20250312,0.05,0.095,0.855,3.0,0.0,1.63,2,14.6,5,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,12,5000,40,10.0,180,110,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1167,1.1105937
38533,20250327,0.05,0.1,0.85,3.0,0.0,1.73,2,14.6,5,0.517,0,0.0,10,0.198,6,0.132,0,0.0,0.0,0.0,0.0,0.0,1000,10,5000,40,10.0,160,110,25,14,4.5,9,2.5,0,0.0,0,0.0,4000.0,30.0,10.0,100.0,100.0,3.0,1.10363,1.101633
