differing_column,row1_index,row2_index
Formula SAM 3,34255,42095
Formula SAM 3,34255,39665
Formula SAM 3,34255,40313
Formula SAM 3,34255,40718
Formula SAM 3,34255,41366
Formula SAM 3,34255,39683
Formula SAM 3,34255,40961
Formula SAM 3,25015,38188
Formula SAM 3,25015,39179
Formula SAM 3,25015,39503
Formula SAM 3,25015,40232
Formula SAM 3,25015,41042
Formula SAM 3,25015,41285
Formula SAM 3,25015,41771
Formula SAM 3,25015,42095
Formula SAM 3,25015,39665
Formula SAM 3,25015,40313
Formula SAM 3,25015,40718
Formula SAM 3,25015,41366
Formula SAM 3,25015,39683
Formula SAM 3,25015,40961
Formula SAM 3,35243,38188
Formula SAM 3,35243,39179
Formula SAM 3,35243,39503
Formula SAM 3,35243,40232
Formula SAM 3,35243,41042
Formula SAM 3,35243,41285
Formula SAM 3,35243,41771
Formula SAM 3,35243,42095
Formula SAM 3,35243,39665
Formula SAM 3,35243,40313
Formula SAM 3,35243,40718
Formula SAM 3,35243,41366
Formula SAM 3,35243,39683
Formula SAM 3,35243,40961
Formula SAM 3,36232,38188
Formula SAM 3,36232,39179
Formula SAM 3,36232,39503
Formula SAM 3,36232,40232
Formula SAM 3,36232,41042
Formula SAM 3,36232,41285
Formula SAM 3,36232,41771
Formula SAM 3,36232,42095
Formula SAM 3,36232,39665
Formula SAM 3,36232,40313
Formula SAM 3,36232,40718
Formula SAM 3,36232,41366
Formula SAM 3,36232,39683
Formula SAM 3,36232,40961
Formula SAM 3,31636,38188
Formula SAM 3,31636,39179
Formula SAM 3,31636,39503
Formula SAM 3,31636,40232
Formula SAM 3,31636,41042
Formula SAM 3,31636,41285
Formula SAM 3,31636,41771
Formula SAM 3,31636,42095
Formula SAM 3,31636,39665
Formula SAM 3,31636,40313
Formula SAM 3,31636,40718
Formula SAM 3,31636,41366
Formula SAM 3,31636,39683
Formula SAM 3,31636,40961
Formula SAM 3,35576,38188
Formula SAM 3,35576,39179
Formula SAM 3,35576,39503
Formula SAM 3,35576,40232
Formula SAM 3,35576,41042
Formula SAM 3,35576,41285
Formula SAM 3,35576,41771
Formula SAM 3,35576,42095
Formula SAM 3,35576,39665
Formula SAM 3,35576,40313
Formula SAM 3,35576,40718
Formula SAM 3,35576,41366
Formula SAM 3,35576,39683
Formula SAM 3,35576,40961
Formula SAM 3,28312,38188
Formula SAM 3,28312,39179
Formula SAM 3,28312,39503
Formula SAM 3,28312,40232
Formula SAM 3,28312,41042
Formula SAM 3,28312,41285
Formula SAM 3,28312,41771
Formula SAM 3,28312,42095
Formula SAM 3,28312,39665
Formula SAM 3,28312,40313
Formula SAM 3,28312,40718
Formula SAM 3,28312,41366
Formula SAM 3,28312,39683
Formula SAM 3,28312,40961
Formula SAM 3,30297,38248
Formula SAM 3,33598,38248
Formula SAM 3,30952,38248
Formula SAM 3,34255,38248
Formula SAM 3,25015,38248
Formula SAM 3,35243,38248
Formula SAM 3,36232,38248
Formula SAM 3,31636,38248
Formula SAM 3,35576,38248
Formula SAM 3,28312,38248
Formula SAM 3,30297,38936
Formula SAM 3,33598,38936
Formula SAM 3,30952,38936
Formula SAM 3,34255,38936
Formula SAM 3,25015,38936
Formula SAM 3,35243,38936
