differing_column,row1_index,row2_index,condition_case
Formula SAM 3,36232,38565,row1
Formula SAM 3,36232,39422,row1
Formula SAM 3,36232,37120,row1
Formula SAM 3,36232,37541,row1
Formula SAM 3,36232,38855,row1
Formula SAM 3,36232,39098,row1
Formula SAM 3,36232,39908,row1
Formula SAM 3,36232,39746,row1
Formula SAM 3,31636,38565,row1
Formula SAM 3,31636,39422,row1
Formula SAM 3,31636,37120,row1
Formula SAM 3,31636,37541,row1
Formula SAM 3,31636,38855,row1
Formula SAM 3,31636,39098,row1
Formula SAM 3,31636,39908,row1
Formula SAM 3,31636,39746,row1
Formula SAM 3,35576,39422,row1
Formula SAM 3,35576,37120,row1
Formula SAM 3,35576,37541,row1
Formula SAM 3,35576,38855,row1
Formula SAM 3,35576,39098,row1
Formula SAM 3,35576,39908,row1
Formula SAM 3,35576,39746,row1
Formula SAM 3,28312,38565,row1
Formula SAM 3,28312,39422,row1
Formula SAM 3,28312,37120,row1
Formula SAM 3,28312,37541,row1
Formula SAM 3,28312,38855,row1
Formula SAM 3,28312,39098,row1
Formula SAM 3,28312,39908,row1
Formula SAM 3,28312,39746,row1
Formula SAM 3,30297,37781,row1
Formula SAM 3,30297,37840,row1
Formula SAM 3,30297,38308,row1
Formula SAM 3,30297,37481,row1
Formula SAM 3,33598,37781,row1
Formula SAM 3,33598,37840,row1
Formula SAM 3,33598,38308,row1
Formula SAM 3,33598,37481,row1
Formula SAM 3,30952,37781,row1
Formula SAM 3,30952,37840,row1
Formula SAM 3,30952,38308,row1
Formula SAM 3,30952,37481,row1
Formula SAM 3,34255,37781,row1
Formula SAM 3,34255,37840,row1
Formula SAM 3,34255,38308,row1
Formula SAM 3,34255,37481,row1
Formula SAM 3,25015,37781,row1
Formula SAM 3,25015,37840,row1
Formula SAM 3,25015,38308,row1
Formula SAM 3,25015,37481,row1
Formula SAM 3,35243,37781,row1
Formula SAM 3,35243,37840,row1
Formula SAM 3,35243,38308,row1
Formula SAM 3,35243,37481,row1
Formula SAM 3,36232,37781,row1
Formula SAM 3,36232,37840,row1
Formula SAM 3,36232,38308,row1
Formula SAM 3,36232,37481,row1
Formula SAM 3,31636,37781,row1
Formula SAM 3,31636,37840,row1
Formula SAM 3,31636,38308,row1
Formula SAM 3,31636,37481,row1
Formula SAM 3,35576,37781,row1
Formula SAM 3,35576,37840,row1
Formula SAM 3,35576,38308,row1
Formula SAM 3,35576,37481,row1
Formula SAM 3,28312,37781,row1
Formula SAM 3,28312,37840,row1
Formula SAM 3,28312,38308,row1
Formula SAM 3,28312,37481,row1
Formula SAM 3,30297,37045,row1
Formula SAM 3,33598,37045,row1
Formula SAM 3,30952,37045,row1
Formula SAM 3,34255,37045,row1
Formula SAM 3,25015,37045,row1
Formula SAM 3,35243,37045,row1
Formula SAM 3,36232,37045,row1
Formula SAM 3,31636,37045,row1
Formula SAM 3,35576,37045,row1
Formula SAM 3,28312,37045,row1
Formula SAM 3,38128,39665,row1
Formula SAM 3,38128,40313,row1
Formula SAM 3,38128,40718,row1
Formula SAM 3,38128,41366,row1
Formula SAM 3,38128,39683,row1
Formula SAM 3,38128,40961,row1
Formula SAM 3,37120,38128,row2
Formula SAM 3,37541,38128,row2
Formula SAM 3,38128,38855,row1
Formula SAM 3,38128,39098,row1
Formula SAM 3,38128,39908,row1
Formula SAM 3,38128,39746,row1
Formula SAM 3,37481,38128,row2
Formula SAM 3,37045,38128,row2
Formula SAM 3,36963,39665,row1
Formula SAM 3,36963,40313,row1
Formula SAM 3,37421,39665,row1
Formula SAM 3,37421,40313,row1
Formula SAM 3,37601,39665,row1
Formula SAM 3,37601,40313,row1
Formula SAM 3,36963,37120,row1
Formula SAM 3,37120,37421,row2
Formula SAM 3,36963,37481,row1
Formula SAM 3,36963,37045,row1
Formula SAM 3,37045,37421,row2
