index,date,rank,Formula PVK,Concentration PVK,Formula Additive 1,Concentration Additive 1,Formula Additive 2,Concentration Additive 2,Formula Additive 3,Concentration Additive 3,Formula SAM 1,Concentration SAM 1,Formula SAM 2,Concentration SAM 2,Formula SAM 3,Concentration SAM 3,Spin Coating Speed SAM,Spin Coating Time SAM,Annealed Temperature SAM,Annealed Time SAM,Spin Coating Speed PVK 1,Spin Coating Time PVK 1,Spin Coating Speed PVK 2,Spin Coating Time PVK 2,Antisolvent Dropping Timing,Antisolvent Volume,Annealed Temperature PVK,Annealed Time PVK,Formula Passivator 1,Concentration Passivator 1,Formula Passivator 2,Concentration Passivator 2,Formula Passivator 3,Concentration Passivator 3,Formula Passivator 4,Concentration Passivator 4,Spin Coating Speed Passivator,Spin Coating Time Passivator,Passivator Dropping Timing,Passivator Volume,Annealed Temperature Passivator,Annealed Time Passivator,PCE,FF,Voc,Jsc,area_px2,mean_RGB,VAR_RGB,gray_mean,gray_contrast,mean_B,mean_G,mean_R,var_B,var_G,var_R,filename,folder_date,date.1,defect_bright,defect_dark,defect_crack,defect_total,closest_color_name,Nucleation Onset Time After Spin Coating,Maximum PL Intensity,Time to Peak PL Intensity After Nucleation,max_column,10%decay_column,10%decay_value,10%slope,20%decay_column,20%decay_value,20%slope,30%decay_column,30%decay_value,30%slope,file_location,xrd_intensity_12.6,xrd_fhwm_12.6,xrd_intensity_4,xrd_fhwm_4,xrd_intensity_4_filename,xrd_Stress,xrd_Stress_filename_x,xrd_intensity_5.3,xrd_fhwm_5.3,xrd_intensity_5.3_filename,Unnamed: 90,Unnamed: 91,xrd_Stress_filename_y
1538,20240919,5,Cs0.01MA0.23FA0.76Pb1I2.85Br0.15,1.42,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.99456,26.308,0.20973,18.025,92.9,57.2698,300.1816,58.6639,16.2553,51.9292,58.5932,61.2871,406.1842,296.2968,198.0639,expID20240919\Image\ԭͼ\13_-160441_.JPEG,20240919,20240919,17,1,2,20,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,20240919,5,Cs0.05MA0.14FA0.81Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,20,,,,,,,,,,,,,,,14.141,75.29,0.9913,18.947,81.9,108.5588,292.8196,110.616,17.0075,102.8776,111.9337,110.8651,263.9956,288.3201,326.1431,expID20240919\Image\ԭͼ\17_-160539_.JPEG,20240919,20240919,21,7,14,42,dimgray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,20240919,5,Cs0.05MA0.14FA0.81Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,20,,,,,,,,,,,,,,,0.057695,3856.3,0.81898,1.8268,98.5,55.9797,140.8969,58.0317,10.1678,45.8698,56.625,65.4442,182.4001,111.9516,128.3389,expID20240919\Image\ԭͼ\17_-134728_.JPEG,20240919,20240919,29,11,2,42,darkslategray,30,56880,22,0,12000,5605,4.272916667,10000,10732,4.6148,9200,15477,4.500326087,0919_1\GP_PL_20240919_257_257.csv,,,,,,,,,,,,,
1611,20240919,5,Cs0.05MA0.14FA0.81Pb1I2.85Br0.15,1.38,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,20,,,,,,,,,,,,,,,14.682,78.921,0.97732,19.034,91.3,86.5618,562.4901,87.9338,23.2265,82.8553,88.8326,87.9976,615.446,558.5385,513.4858,expID20240919\Image\ԭͼ\17_-184001_.JPEG,20240919,20240919,21,18,8,47,dimgray,30,53749,23.8,1800,14600,5335,3.78234375,8600,9729,6.473529412,8400,11500,6.401363636,0919_3\GP_PL_20240919_297_297.csv,,,,,,,,,,,,,
1664,20240919,5,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.8,,,,,,,,,,,,,,,,,1000,15,5500,25,15,150,105,35,,,,,,,,,,,,,,,14.883,73.35,0.99678,20.357,19.6,109.7818,81.1441,111.9816,8.7326,103.9676,113.5282,111.8495,82.0696,75.8795,85.4831,expID20240919\Image\ԭͼ\2_-183615_.JPEG,20240919,20240919,0,6,0,6,dimgray,25,57272,27,0,9000,4902,5.818888889,5400,11128,8.545185185,4400,16837,9.189772727,0919_3\GP_PL_20240919_282_282.csv,,,,,,,,,,,,,
1669,20240919,5,Cs0.05MA0.1FA0.85Pb1I3.0,1.73,,,,,,,,,,,,,,,,,1000,10,5000,40,10,200,110,15,,,,,,,,,,,,,,,13.514,65.519,0.99854,20.656,100,52.0184,32.001,53.8039,4.8187,45.97,54.508,55.5773,50.1004,23.7383,22.1642,expID20240919\Image\ԭͼ\20_-160622_.JPEG,20240919,20240919,2,0,2,4,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,20240919,5,Cs0.35MA0.43FA0.22Pb1I2.87Br0.13,1.5,,,,,,,,,,,,,,,,,1000,10,5000,40,10,120,100,30,,,,,,,,,,,,,,,15.432,70.32,1.0443,21.015,86.8,89.0715,288.1058,90.6655,16.6673,85.5445,92.2802,89.3898,291.8997,268.9806,303.437,expID20240919\Image\ԭͼ\3_-183630_.JPEG,20240919,20240919,51,8,5,64,dimgray,40,46032,22,0,10400,4439,3.999326923,8800,9040,4.203636364,4400,12816,7.549090909,0919_3\GP_PL_20240919_283_283.csv,,,,,,,,,,,,,
1720,20240919,5,Cs0.01MA0.22FA0.77Pb1I2.86Br0.14,1.4,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,105,30,,,,,,,,,,,,,,,0.35585,168440,0.28475,0.74191,93.8,66.594,339.7342,67.9689,17.9624,63.2099,69.0296,67.5426,376.5137,330.517,312.172,expID20240919\Image\ԭͼ\5_-160240_.JPEG,20240919,20240919,42,21,5,68,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,20240919,5,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.086892,150.36,0.006831,8.4598,90.3,72.5732,363.3985,73.7072,18.5391,68.5429,73.9494,75.2272,433.4181,373.5377,283.2396,expID20240919\Image\ԭͼ\6_-134444_.JPEG,20240919,20240919,43,18,2,63,darkslategray,30,4098,30,8000,20000,2135,0.163583333,20000,2135,0.163583333,20000,2135,0.163583333,0919_1\GP_PL_20240919_246_246.csv,,,,,,,,,,,,,
1739,20240919,5,Cs0.05MA0.15FA0.8Pb1I2.85Br0.15,1.75,,,,,,,,,,,,,,,,,1000,10,5000,30,10,120,100,30,,,,,,,,,,,,,,,0.42079,30.222,0.089553,15.548,93,76.8522,338.7836,77.9267,18.329,74.3155,78.9699,77.2712,326.7938,334.2074,355.3495,expID20240919\Image\ԭͼ\6_-160255_.JPEG,20240919,20240919,59,18,5,82,darkslategray,,,,,,,,,,,,,,,,,,,,,,,,,,,
