differing_column,row1_index,row2_index,condition_case
Formula Passivator 2,37247,38694,row1
Formula Passivator 2,37247,38774,row1
Formula Passivator 2,37247,38781,row1
Formula Passivator 2,37247,38986,row1
Formula Passivator 2,37906,38354,row1
Formula Passivator 2,38354,38890,row1
Formula Passivator 2,37189,38354,row1
Formula Passivator 2,37213,38354,row1
Formula Passivator 2,38032,38354,row1
Formula Passivator 2,38354,38370,row1
Formula Passivator 2,38354,38654,row1
Formula Passivator 2,38354,38686,row1
Formula Passivator 2,38354,38694,row1
Formula Passivator 2,38354,38774,row1
Formula Passivator 2,38354,38781,row1
Formula Passivator 2,38354,38986,row1
Formula Passivator 2,38354,38997,row1
Formula Passivator 2,37149,38890,row1
Formula Passivator 2,37177,37906,row2
Formula Passivator 2,37189,37906,row2
Formula Passivator 2,37906,38032,row1
Formula Passivator 2,37906,38047,row1
Formula Passivator 2,37906,38063,row1
Formula Passivator 2,37189,38890,row1
Formula Passivator 2,37213,38890,row1
Formula Passivator 2,38032,38890,row1
Formula Passivator 2,38063,38890,row1
Formula Passivator 2,37213,38898,row1
Formula Passivator 2,37213,39591,row1
Formula Passivator 2,37213,39674,row1
Formula Passivator 2,37213,39815,row1
Formula Passivator 2,37213,40250,row1
Formula Passivator 2,37213,40298,row1
Formula Passivator 2,37213,40338,row1
Formula Passivator 2,37906,38382,row1
Formula Passivator 2,37906,38370,row1
Formula Passivator 2,37906,38654,row1
Formula Passivator 2,37906,38686,row1
Formula Passivator 2,37906,38694,row1
Formula Passivator 2,37906,38774,row1
Formula Passivator 2,37906,38781,row1
Formula Passivator 2,37906,38986,row1
Formula Passivator 2,37906,38997,row1
Formula Passivator 2,38370,38890,row2
Formula Passivator 2,38654,38890,row2
Formula Passivator 2,38686,38890,row2
Formula Passivator 2,38694,38890,row2
Formula Passivator 2,38774,38890,row2
Formula Passivator 2,38781,38890,row2
Formula Passivator 2,38890,38986,row1
Formula Passivator 2,38686,38898,row2
Formula Passivator 2,38686,39591,row2
Formula Passivator 2,38686,39815,row2
Formula Passivator 2,38686,40298,row2
Formula Passivator 2,37149,37213,row2
Formula Passivator 2,37149,38370,row1
Formula Passivator 2,37149,38654,row1
Formula Passivator 2,37149,38686,row1
Formula Passivator 2,37149,38694,row1
Formula Passivator 2,37149,38774,row1
Formula Passivator 2,37149,38781,row1
Formula Passivator 2,37149,38986,row1
Formula Passivator 2,37149,38997,row1
Formula Passivator 2,37213,37328,row1
Formula Passivator 2,37177,38654,row1
Formula Passivator 2,37177,38694,row1
Formula Passivator 2,37177,38781,row1
Formula Passivator 2,37177,38997,row1
Formula Passivator 2,37189,38370,row1
Formula Passivator 2,37189,38654,row1
Formula Passivator 2,37189,38686,row1
Formula Passivator 2,37189,38694,row1
Formula Passivator 2,37189,38774,row1
Formula Passivator 2,37189,38781,row1
Formula Passivator 2,37189,38986,row1
Formula Passivator 2,37189,38997,row1
Formula Passivator 2,37213,38370,row1
Formula Passivator 2,37213,38654,row1
Formula Passivator 2,37213,38686,row1
Formula Passivator 2,37213,38694,row1
Formula Passivator 2,37213,38774,row1
Formula Passivator 2,37213,38781,row1
Formula Passivator 2,37213,38986,row1
Formula Passivator 2,37213,38997,row1
Formula Passivator 2,38022,38370,row1
Formula Passivator 2,38022,38654,row1
Formula Passivator 2,38022,38686,row1
Formula Passivator 2,38022,38694,row1
Formula Passivator 2,38022,38774,row1
Formula Passivator 2,38022,38781,row1
Formula Passivator 2,38022,38986,row1
Formula Passivator 2,38032,38370,row1
Formula Passivator 2,38032,38654,row1
Formula Passivator 2,38032,38686,row1
Formula Passivator 2,38032,38694,row1
Formula Passivator 2,38032,38774,row1
Formula Passivator 2,38032,38781,row1
Formula Passivator 2,38032,38986,row1
Formula Passivator 2,38032,38997,row1
Formula Passivator 2,38047,38694,row1
Formula Passivator 2,38047,38781,row1
Formula Passivator 2,38047,38997,row1
Formula Passivator 2,38063,38370,row1
Formula Passivator 2,38063,38654,row1
Formula Passivator 2,38063,38686,row1
Formula Passivator 2,38063,38694,row1
Formula Passivator 2,38063,38774,row1
Formula Passivator 2,38063,38781,row1
Formula Passivator 2,38063,38986,row1
Formula Passivator 2,38063,38997,row1
Formula Passivator 2,37328,38370,row1
Formula Passivator 2,37328,38686,row1
Formula Passivator 2,37328,38694,row1
Formula Passivator 2,37328,38781,row1
Formula Passivator 2,37328,38986,row1
